Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","AFG","Afghanistan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","29.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AFG","Afghanistan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","21.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AFG","Afghanistan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","18.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ALB","Albania","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","49.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ALB","Albania","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","51.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ALB","Albania","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","51","F","FAO estimate",""
"FS","Suite of Food Security Indicators","DZA","Algeria","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","74","F","FAO estimate",""
"FS","Suite of Food Security Indicators","DZA","Algeria","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","72.8","F","FAO estimate",""
"FS","Suite of Food Security Indicators","DZA","Algeria","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","70.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ASM","American Samoa","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ASM","American Samoa","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ASM","American Samoa","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AND","Andorra","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AND","Andorra","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AND","Andorra","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AGO","Angola","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","57.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AGO","Angola","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","60.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AGO","Angola","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","60.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ATG","Antigua and Barbuda","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","94.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ATG","Antigua and Barbuda","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","100","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ATG","Antigua and Barbuda","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","100","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ARG","Argentina","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","-164.4","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ARG","Argentina","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","-162.2","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ARG","Argentina","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","-171.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ARM","Armenia","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","53.9","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ARM","Armenia","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","53.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","ARM","Armenia","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","51.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","-152.3","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","-163.6","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AUS","Australia","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","-146","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AUT","Austria","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","-6.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AUT","Austria","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","-4.8","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AUT","Austria","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","-5.5","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AZE","Azerbaijan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","28","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AZE","Azerbaijan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","32.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","AZE","Azerbaijan","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","36.1","F","FAO estimate",""
"FS","Suite of Food Security Indicators","BHS","Bahamas","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","96.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","BHS","Bahamas","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","91","F","FAO estimate",""
"FS","Suite of Food Security Indicators","BHS","Bahamas","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","93.7","F","FAO estimate",""
"FS","Suite of Food Security Indicators","BHR","Bahrain","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","BHR","Bahrain","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20022004","2002-2004","%","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","BHR","Bahrain","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20032005","2003-2005","%","","F","FAO estimate",""
"FS","Suite of Food Security Indicators","BGD","Bangladesh","6121","Value","21035","Cereal import dependency ratio (percent) (3-year average)","20012003","2001-2003","%","10.6","F","FAO estimate",""
