Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","AFG","Afghanistan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-2.04","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AFG","Afghanistan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","-2.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AFG","Afghanistan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-2.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ALB","Albania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-0.29","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ALB","Albania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","-0.31","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ALB","Albania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-0.43","X","International reliable sources",""
"FS","Suite of Food Security Indicators","DZA","Algeria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-1.63","X","International reliable sources",""
"FS","Suite of Food Security Indicators","DZA","Algeria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","-1.75","X","International reliable sources",""
"FS","Suite of Food Security Indicators","DZA","Algeria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-1.36","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ASM","American Samoa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ASM","American Samoa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ASM","American Samoa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0.74","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AND","Andorra","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","1.28","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AND","Andorra","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","1.46","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AND","Andorra","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","1.4","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AGO","Angola","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-1.58","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AGO","Angola","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","-1.01","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AGO","Angola","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-1.06","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ATG","Antigua and Barbuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.79","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ATG","Antigua and Barbuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.87","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ATG","Antigua and Barbuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","1.09","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ARG","Argentina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-0.78","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ARG","Argentina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","-0.36","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ARG","Argentina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-0.61","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ARM","Armenia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-0.26","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ARM","Armenia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.24","X","International reliable sources",""
"FS","Suite of Food Security Indicators","ARM","Armenia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-0.12","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AUS","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","1.19","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AUS","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.88","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AUS","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0.94","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AUT","Austria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","1.36","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AUT","Austria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.96","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AUT","Austria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","1.09","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AZE","Azerbaijan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-1.19","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AZE","Azerbaijan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","-0.95","X","International reliable sources",""
"FS","Suite of Food Security Indicators","AZE","Azerbaijan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-1.06","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BHS","Bahamas","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.96","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BHS","Bahamas","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.83","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BHS","Bahamas","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0.89","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BHR","Bahrain","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.28","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BHR","Bahrain","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.48","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BHR","Bahrain","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0.31","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BGD","Bangladesh","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-1.03","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BGD","Bangladesh","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","-1.12","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BGD","Bangladesh","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-1.36","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BRB","Barbados","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","1.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BRB","Barbados","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.92","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BRB","Barbados","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","1.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BLR","Belarus","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BLR","Belarus","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.69","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BLR","Belarus","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0.16","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BEL","Belgium","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","1.26","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BEL","Belgium","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.86","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BEL","Belgium","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0.71","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BLZ","Belize","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.42","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BLZ","Belize","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.49","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BLZ","Belize","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0.4","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BEN","Benin","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.82","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BEN","Benin","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.68","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BEN","Benin","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0.27","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BMU","Bermuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.79","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BMU","Bermuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.85","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BMU","Bermuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0.89","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BTN","Bhutan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.69","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BTN","Bhutan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.92","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BTN","Bhutan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","1.17","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BOL","Bolivia (Plurinational State of)","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-0.29","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BOL","Bolivia (Plurinational State of)","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","-0.83","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BOL","Bolivia (Plurinational State of)","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-0.68","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BIH","Bosnia and Herzegovina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-0.16","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BIH","Bosnia and Herzegovina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","-0.4","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BIH","Bosnia and Herzegovina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0.02","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BWA","Botswana","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.87","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BWA","Botswana","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","1.11","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BWA","Botswana","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0.92","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BRA","Brazil","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.33","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BRA","Brazil","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.01","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BRA","Brazil","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-0.28","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BRN","Brunei Darussalam","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","1.16","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BRN","Brunei Darussalam","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","1.15","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BRN","Brunei Darussalam","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","1.37","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BGR","Bulgaria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.47","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BGR","Bulgaria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.17","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BGR","Bulgaria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BFA","Burkina Faso","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-0.31","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BFA","Burkina Faso","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.07","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BFA","Burkina Faso","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-0.08","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BDI","Burundi","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-2.29","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BDI","Burundi","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","-2.24","X","International reliable sources",""
"FS","Suite of Food Security Indicators","BDI","Burundi","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-2.52","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CPV","Cabo Verde","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.73","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CPV","Cabo Verde","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.92","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CPV","Cabo Verde","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","1.04","X","International reliable sources",""
"FS","Suite of Food Security Indicators","KHM","Cambodia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-0.73","X","International reliable sources",""
"FS","Suite of Food Security Indicators","KHM","Cambodia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","-0.65","X","International reliable sources",""
"FS","Suite of Food Security Indicators","KHM","Cambodia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-0.41","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CMR","Cameroon","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-0.68","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CMR","Cameroon","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","-0.43","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CMR","Cameroon","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-0.36","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CAN","Canada","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","1.22","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CAN","Canada","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","1.05","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CAN","Canada","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0.88","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CAF","Central African Republic","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-1.73","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CAF","Central African Republic","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","-1.54","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CAF","Central African Republic","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-1.42","X","International reliable sources",""
"FS","Suite of Food Security Indicators","TCD","Chad","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","-1.56","X","International reliable sources",""
"FS","Suite of Food Security Indicators","TCD","Chad","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","-1.37","X","International reliable sources",""
"FS","Suite of Food Security Indicators","TCD","Chad","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","-1.54","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CHL","Chile","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","1.09","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CHL","Chile","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.76","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CHL","Chile","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","0.69","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CHN","China","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CHN","China","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","","X","International reliable sources",""
"FS","Suite of Food Security Indicators","CHN","China","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","","X","International reliable sources",""
"FS","Suite of Food Security Indicators","HKG","China, Hong Kong SAR","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.91","X","International reliable sources",""
"FS","Suite of Food Security Indicators","HKG","China, Hong Kong SAR","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","0.95","X","International reliable sources",""
"FS","Suite of Food Security Indicators","HKG","China, Hong Kong SAR","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","1.15","X","International reliable sources",""
"FS","Suite of Food Security Indicators","MAC","China, Macao SAR","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.55","X","International reliable sources",""
"FS","Suite of Food Security Indicators","MAC","China, Macao SAR","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","1.12","X","International reliable sources",""
"FS","Suite of Food Security Indicators","MAC","China, Macao SAR","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","1.35","X","International reliable sources",""
"FS","Suite of Food Security Indicators","F41","China, mainland","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","","X","International reliable sources",""
"FS","Suite of Food Security Indicators","F41","China, mainland","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2003","2003","index","","X","International reliable sources",""
"FS","Suite of Food Security Indicators","F41","China, mainland","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2004","2004","index","","X","International reliable sources",""
"FS","Suite of Food Security Indicators","TWN","China, Taiwan Province of","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2002","2002","index","0.7","X","International reliable sources",""
