Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","21348","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","22203","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","23116","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","24019","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","24861","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","3","Albania","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","3286","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","3","Albania","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","3264","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","3","Albania","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","3239","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","3","Albania","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","3216","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","3","Albania","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","3196","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","4","Algeria","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","32150","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","4","Algeria","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","32573","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","4","Algeria","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","33003","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","4","Algeria","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","33461","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","4","Algeria","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","33961","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","7","Angola","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","14385","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","7","Angola","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","14887","","Official data"
"FBSH","Food Balances (-2013, old methodology and population)","7","Angola","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","15421","","Official data"
